title,file_size_gb,date_released,developer,publisher,platform
Sniper Ghost Warrior,6.95,6/24/2010,City Interactive,CI Games,Steam
Half Life 2,6.31,11/16/2004,Valve,Valve,Steam
Killing Floor,6.03,5/14/2009,Tripwire Interactive,Tripwire Interactive,Steam
Surviving Mars,6,3/15/2018,Haemimont Games,Paradox Interactive,Epic Games
Dead Island Riptide,5.88,4/23/2013,Techland,Deep Silver,Steam
Medieval Dynasty,5.74,9/23/2021,Render Cube,Toplitz Productions,Steam
Overcooked 2,5.6,8/7/2018,Ghost Town Games,Team 17,Nintendo Switch Online
Elder Scrolls IV: Oblivion,5.58,9/11/2007,Bethesda Game Studios,Bethesda Softworks,Steam
BioShock,5.57,8/21/2007,2k,2k,Steam
The Forest,5.54,4/30/2018,Endnight Games,Endnight Games,Steam
Payday: The Heist,5.15,10/20/2011,Overkill Software,Daybreak Game Company,Steam
Amnesia: A Machine for Pigs,5,10/15/2010,The Chinese Room,The Chinese Room,Epic Games
Just Cause 2,4.81,3/23/2010,Avalanche Studios,Square Enix,Steam
Dino D-Day,4.76,4/8/2011,800 North and Digital Ranch,800 North and Digital Ranch,Steam
Don't Starve,4.32,4/23/2013,Klei Entertainment,Klei Entertainment,Steam
Counter Strike: Source,4.31,11/1/2004,Valve,Valve,Steam
Grav,4.05,1/8/2015,Bitmonster Inc,Bitmonster Inc,Steam
Garry's Mod,4.04,11/29/2006,Facepunch Studios,Valve,Steam
Rogue Warrior,4,12/1/2009,Rebellion,Bethesda Softworks,Steam
Animal Crossing,4,3/20/2020,Nintendo EPD,Nintendo,Nintendo Switch Cartridge
Orion: Prelude,3.88,4/15/2013,Dankie,Dankie,Steam
Dark Souls,3.74,8/24/2012,FromSoftware,Bandai Namco Entertainment,Steam
Nether,2.9,6/5/2014,Nether Productions,Nether Productions,Steam
Metal Gear Solid V: Ground Zeroes,2.83,12/18/2014,Konami Digital Entertainment,Konami Digital Entertainment,Steam
Trials Evolution,2.82,3/21/2013,Redlynx,Ubisoft,Steam
Tabletop Simulator,2.71,6/5/2015,Berserk Games,Berserk Games,Steam
Quake 4,2.69,10/18/2005,Ravensoft,Id Software,Steam
Deep Rock Galactic,2.67,5/13/2020,Ghost Ship Games,Coffee Stain Publishing,Steam
Don't Starve Together,2.66,4/21/2016,Klei Entertainment,Klei Entertainment,Steam
Sanctum 2,2.64,5/15/2013,Coffee Stain Studios,Coffee Stain Studios,Steam
Mark of the Ninja,2.36,9/7/2012,Klei Entertainment,Microsoft Studios,Steam
Surgeon Simulator,2.28,4/19/2013,Bossa Studios,Bossa Studios,Steam
Tales of the Neon Sea,2,4/14/2018,Palm Pioneer,Thermite Games,Epic Games
Ironcast,2,7/8/2021,Dreadbit Games,Ripstone,Epic Games
